tedarikci;urun_adi;url;fiyat;gorsel_dosyalari
mexxsun;modifiye-sinus-24v-1200w;https://www.mexxsun.com/tr/urun/modifiye-sinus-24v-1200w;47,10;public/images/products/mexxsun/modifiye-sinus-24v-1200w.jpg|public/images/products/mexxsun/modifiye-sinus-24v-1200w-2.jpg|public/images/products/mexxsun/modifiye-sinus-24v-1200w-3.jpg|public/images/products/mexxsun/modifiye-sinus-24v-1200w-4.jpg|public/images/products/mexxsun/modifiye-sinus-24v-1200w-5.jpg|public/images/products/mexxsun/modifiye-sinus-24v-1200w-6.jpg
mexxsun;modifiye-sinus-12v-2000w;https://www.mexxsun.com/tr/urun/modifiye-sinus-12v-2000w;47,10;public/images/products/mexxsun/modifiye-sinus-12v-2000w.jpg|public/images/products/mexxsun/modifiye-sinus-12v-2000w-2.jpg|public/images/products/mexxsun/modifiye-sinus-12v-2000w-3.jpg|public/images/products/mexxsun/modifiye-sinus-12v-2000w-4.jpg|public/images/products/mexxsun/modifiye-sinus-12v-2000w-5.jpg|public/images/products/mexxsun/modifiye-sinus-12v-2000w-6.jpg
mexxsun;deye-optimizer-sun-xl02-b;https://www.mexxsun.com/tr/urun/deye-optimizer-sun-xl02-b;47,10;public/images/products/mexxsun/deye-optimizer-sun-xl02-b.jpg
mexxsun;deye-optimizer-concentrator-sun-xl20-b;https://www.mexxsun.com/tr/urun/deye-optimizer-concentrator-sun-xl20-b;47,10;public/images/products/mexxsun/deye-optimizer-concentrator-sun-xl20-b.jpg
mexxsun;auxsol-3-6kw-monofaze;https://www.mexxsun.com/tr/urun/auxsol-3-6kw-monofaze;47,10;public/images/products/mexxsun/auxsol-3-6kw-monofaze.jpg|public/images/products/mexxsun/auxsol-3-6kw-monofaze-2.jpg|public/images/products/mexxsun/auxsol-3-6kw-monofaze-3.jpg|public/images/products/mexxsun/auxsol-3-6kw-monofaze-4.jpg|public/images/products/mexxsun/auxsol-3-6kw-monofaze-5.jpg|public/images/products/mexxsun/auxsol-3-6kw-monofaze-6.jpg
mexxsun;deye-3kw-monofaze;https://www.mexxsun.com/tr/urun/deye-3kw-monofaze;47,10;public/images/products/mexxsun/deye-3kw-monofaze.jpg|public/images/products/mexxsun/deye-3kw-monofaze-2.jpg|public/images/products/mexxsun/deye-3kw-monofaze-3.jpg|public/images/products/mexxsun/deye-3kw-monofaze-4.jpg
mexxsun;deye-5kw-monofaze05;https://www.mexxsun.com/tr/urun/deye-5kw-monofaze05;47,10;public/images/products/mexxsun/deye-5kw-monofaze05.jpg|public/images/products/mexxsun/deye-5kw-monofaze05-2.jpg|public/images/products/mexxsun/deye-5kw-monofaze05-3.jpg|public/images/products/mexxsun/deye-5kw-monofaze05-4.jpg|public/images/products/mexxsun/deye-5kw-monofaze05-5.jpg
mexxsun;deye-10kw-monofaze-910;https://www.mexxsun.com/tr/urun/deye-10kw-monofaze-910;47,10;public/images/products/mexxsun/deye-10kw-monofaze-910.jpg|public/images/products/mexxsun/deye-10kw-monofaze-910-2.jpg|public/images/products/mexxsun/deye-10kw-monofaze-910-3.jpg|public/images/products/mexxsun/deye-10kw-monofaze-910-4.jpg|public/images/products/mexxsun/deye-10kw-monofaze-910-5.jpg
mexxsun;auxsol-8kw-monofaze;https://www.mexxsun.com/tr/urun/auxsol-8kw-monofaze;47,10;public/images/products/mexxsun/auxsol-8kw-monofaze.jpg|public/images/products/mexxsun/auxsol-8kw-monofaze-2.jpg|public/images/products/mexxsun/auxsol-8kw-monofaze-3.jpg|public/images/products/mexxsun/auxsol-8kw-monofaze-4.jpg|public/images/products/mexxsun/auxsol-8kw-monofaze-5.jpg|public/images/products/mexxsun/auxsol-8kw-monofaze-6.jpg
mexxsun;deye-5kw-trifaze-sun-5k-g06p3-eu-bm2-p1;https://www.mexxsun.com/tr/urun/deye-5kw-trifaze-sun-5k-g06p3-eu-bm2-p1;47,10;public/images/products/mexxsun/deye-5kw-trifaze-sun-5k-g06p3-eu-bm2-p1.jpg|public/images/products/mexxsun/deye-5kw-trifaze-sun-5k-g06p3-eu-bm2-p1-2.jpg|public/images/products/mexxsun/deye-5kw-trifaze-sun-5k-g06p3-eu-bm2-p1-3.jpg|public/images/products/mexxsun/deye-5kw-trifaze-sun-5k-g06p3-eu-bm2-p1-4.jpg|public/images/products/mexxsun/deye-5kw-trifaze-sun-5k-g06p3-eu-bm2-p1-5.jpg|public/images/products/mexxsun/deye-5kw-trifaze-sun-5k-g06p3-eu-bm2-p1-6.jpg
mexxsun;deye-10kw-trifaze-3167;https://www.mexxsun.com/tr/urun/deye-10kw-trifaze-3167;47,10;public/images/products/mexxsun/deye-10kw-trifaze-3167.jpg|public/images/products/mexxsun/deye-10kw-trifaze-3167-2.jpg|public/images/products/mexxsun/deye-10kw-trifaze-3167-3.jpg|public/images/products/mexxsun/deye-10kw-trifaze-3167-4.jpg|public/images/products/mexxsun/deye-10kw-trifaze-3167-5.jpg|public/images/products/mexxsun/deye-10kw-trifaze-3167-6.jpg
mexxsun;auxsol-25kw-trifaz;https://www.mexxsun.com/tr/urun/auxsol-25kw-trifaz;47,10;public/images/products/mexxsun/auxsol-25kw-trifaz.jpg|public/images/products/mexxsun/auxsol-25kw-trifaz-2.jpg|public/images/products/mexxsun/auxsol-25kw-trifaz-3.jpg|public/images/products/mexxsun/auxsol-25kw-trifaz-4.jpg|public/images/products/mexxsun/auxsol-25kw-trifaz-5.jpg|public/images/products/mexxsun/auxsol-25kw-trifaz-6.jpg
